contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,retrieved_date,expiration
SPY250411C00375000,2025-04-10 17:28:02+00:00,375.0,150.05,148.72,152.08,6.279999,4.368087,3.0,601,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00380000,2025-04-09 17:01:55+00:00,380.0,121.96,144.07,147.31,0.0,0.0,10.0,32,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00385000,2025-04-04 15:42:25+00:00,385.0,131.96,139.07,142.63,0.0,0.0,4.0,2,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00390000,2025-04-07 13:36:18+00:00,390.0,97.69,133.59,137.31,0.0,0.0,8.0,5,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00395000,2025-04-07 13:51:12+00:00,395.0,96.41,129.42,131.91,0.0,0.0,17.0,11,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00400000,2025-04-10 15:58:57+00:00,400.0,118.75,123.72,126.94,0.0,0.0,1.0,18,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00410000,2025-04-07 13:36:06+00:00,410.0,78.45,114.74,116.91,0.0,0.0,4.0,2,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00415000,2025-04-08 17:16:07+00:00,415.0,91.69,108.9,112.43,0.0,0.0,2.0,10,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00420000,2025-04-10 18:22:01+00:00,420.0,105.15,104.86,106.92,0.0,0.0,4.0,39,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00425000,2025-04-10 14:56:05+00:00,425.0,102.98,99.74,101.97,0.0,0.0,17.0,18,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00430000,2025-04-08 14:06:23+00:00,430.0,94.13,94.11,97.54,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00440000,2025-04-10 18:15:33+00:00,440.0,81.38,85.3,87.45,0.0,0.0,24.0,28,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00445000,2025-04-11 15:00:04+00:00,445.0,80.87,78.77,81.99,-11.849998,-12.780413,1.0,20,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00450000,2025-04-10 19:50:01+00:00,450.0,74.01,75.4,77.0,2.3100052,3.2217648,1.0,472,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
